,label_2,sentiment,sentiment_2,Interest_rate,change_of_rate
2002-08-01,-0.09451998403338069,-0.12309763955479434,-0.7095711918686068,4.0,0.0
2002-09-01,-0.3634442677685295,-0.16909394626253435,-0.795827495514813,4.0,0.0
2002-10-01,-0.5533705037001371,0.06577663758286313,-0.8567455161909661,4.0,0.0
2002-11-01,-0.6857568747811469,-0.12691759449756856,-0.8928009629713569,4.0,0.0
2002-12-01,-0.7794369013989367,-0.2613240716663677,-0.7326036245005113,4.0,0.0
2003-01-01,-0.8447755533766121,-0.4159593469509749,-0.8079734334681733,4.0,0.0
2003-02-01,-0.891004187074338,-0.24858790115091473,-0.7498901404041934,4.0,-0.25
2003-03-01,-0.923629181360978,-0.2365001938720129,-0.8247538670127634,3.75,0.0
2003-04-01,-0.9458952341531192,-0.23871912488936073,-0.8758471997575111,3.75,0.0
2003-05-01,-0.9618572862442526,-0.2464025715702975,-0.9026667326069683,3.75,0.0
2003-06-01,-0.9730737539988252,-0.029540209913108614,-0.6467797912847326,3.75,0.0
2003-07-01,-0.9810561373563219,-0.16285759899935498,-0.7449318837566231,3.75,-0.25
2003-08-01,-0.9674866858192,-0.21278339595765167,-0.6202871786170362,3.5,0.0
2003-09-01,-0.3831504528741622,0.06820525586502416,-0.4456827464167052,3.5,0.0
2003-10-01,0.02953376006323232,0.0261711895430057,-0.591297924798928,3.5,0.0
2003-11-01,0.31719161718467953,0.32901605129649925,-0.12922845950882184,3.5,0.25
2003-12-01,0.5207457934957251,0.6102193465234879,-0.08082272533690536,3.75,0.0
2004-01-01,0.6627179620357043,0.8550520089658415,0.23935546828318924,3.75,0.0
2004-02-01,0.7631666174271501,0.8989278523413915,0.46160582204845785,3.75,0.25
2004-03-01,0.834009883110352,1.0458410865800851,0.4840648682411302,4.0,0.0
2004-04-01,0.8828418509958875,1.1426283019279797,0.34165976278426896,4.0,0.0
2004-05-01,0.9176038332107672,1.1700179236634407,0.24356860296868665,4.0,0.25
2004-06-01,0.9419315095994093,1.0839073400702943,0.2764610430936011,4.25,0.25
2004-07-01,0.9591949245013726,1.3953204682508984,0.49156484766370606,4.5,0.0
2004-08-01,0.9712594380104015,1.4331154605075431,0.6418898425049027,4.5,0.25
2004-09-01,0.9798072539147672,1.5889831043356701,0.748396448077177,4.75,0.0
2004-10-01,0.9759441575553135,1.6530421782995133,0.8169442064398172,4.75,0.0
2004-11-01,0.6864623040122201,1.406921464968683,0.6734968884179099,4.75,0.0
2004-12-01,0.48171946079878564,1.3622395570574428,0.5628149359824498,4.75,0.0
2005-01-01,0.33896821203979294,1.0649550850330771,0.21438651236154485,4.75,0.0
2005-02-01,0.22835418168097335,0.9554128839689358,-0.13772743329557927,4.75,0.0
2005-03-01,-0.13938271493556798,0.8954138583808456,-0.10275795321802218,4.75,0.0
2005-04-01,-0.39032716997693057,0.7299493740102553,-0.24679598674800293,4.75,0.0
2005-05-01,-0.5702086653253186,0.5368322666398994,-0.3264071829645152,4.75,0.0
2005-06-01,-0.6966030898618663,0.5139308832506392,-0.518128283520395,4.75,0.0
2005-07-01,-0.7865499540348525,0.4652067942191112,-0.464983245013344,4.75,0.0
2005-08-01,-0.8495350857626953,0.47408496724541765,-0.46094628698271073,4.75,-0.25
2005-09-01,-0.8942235292084731,0.591110684799927,-0.0334541694699391,4.5,0.0
2005-10-01,-0.915896971880433,0.6201410502519052,0.07598410995238261,4.5,0.0
2005-11-01,-0.6444113322313564,0.6225744653188748,0.15386802988485096,4.5,0.0
2005-12-01,-0.45230244768432043,0.7165931330531077,0.2521147308780207,4.5,0.0
2006-01-01,-0.3183136750612486,0.7185867894582785,0.18703534642386474,4.5,0.0
2006-02-01,-0.21387643463357173,1.0167651769319714,0.42433300955077596,4.5,0.0
2006-03-01,0.14946603984718856,1.0682543539875418,0.44524258939818456,4.5,0.0
2006-04-01,0.39744121111337527,1.0126179203061998,0.41261518327560326,4.5,0.0
2006-05-01,0.5752090352232336,0.9560787179398521,0.39576411737827827,4.5,0.0
2006-06-01,0.7001256389661223,1.2119813317647181,0.5734493804260875,4.5,0.0
2006-07-01,0.7890245355215793,1.4278421590022148,0.6999019363379396,4.5,0.0
2006-08-01,0.8512776611071016,1.517431597715737,0.7756798694362839,4.5,0.25
2006-09-01,0.895447656240235,1.2639376550468804,0.4591317132442099,4.75,0.0
2006-10-01,0.9266424627689926,1.4926963348984963,0.6205081200864664,4.75,0.0
2006-11-01,0.9483865216775668,1.5760350176051605,0.7297906356593501,4.75,0.25
2006-12-01,0.9637731812778363,1.509199133818086,0.70932570871411,5.0,0.0
2007-01-01,0.9745048562843072,1.4356265853683492,0.6425128111102734,5.0,0.25
2007-02-01,0.9820977688872969,1.274437554162554,0.4607982789698738,5.25,0.0
2007-03-01,0.9874563250657887,1.4678398519508755,0.6169758427535782,5.25,0.0
2007-04-01,0.9911134565845411,1.4158082530280809,0.5733613569096759,5.25,0.0
2007-05-01,0.9937351751442213,1.2427464121832992,0.26160110523176766,5.25,0.25
2007-06-01,0.9955774458958764,1.154176589538442,0.18785865828726006,5.5,0.0
2007-07-01,0.9968885281114226,1.1634640248590735,0.2336096818693737,5.5,0.25
2007-08-01,0.9786473703600482,1.2595818429940615,0.3295872574912919,5.75,0.0
2007-09-01,0.3909964557105187,0.8966913064500522,0.030497360159555228,5.75,0.0
2007-10-01,-0.024028732798094286,0.45731173271086173,-0.270376077884024,5.75,0.0
2007-11-01,-0.3133183461337159,0.19055068497224045,-0.28775598308933514,5.75,0.0
2007-12-01,-0.5180271955685588,-0.011879180548615698,-0.26949959020267195,5.75,-0.25
2008-01-01,-0.6608047096525097,-0.4872474737676155,-0.4858998343434303,5.5,0.0
2008-02-01,-0.7618231660012298,-0.8531840254837063,-0.6390081074271877,5.5,-0.25
2008-03-01,-0.8330682943139486,-1.2140716636064586,-0.7469905391121014,5.25,0.0
2008-04-01,-0.8821772644366372,-1.3430874432419597,-0.8214223793933555,5.25,-0.25
2008-05-01,-0.91713643606001,-1.2051455864951166,-0.874408126643502,5.0,0.0
2008-06-01,-0.9416021126379078,-1.2368885664233846,-0.9114894445141365,5.0,0.0
2008-07-01,-0.9589634552863741,-1.3130168545527359,-0.9378031032988824,5.0,0.0
2008-08-01,-0.9710964054649835,-1.239131899411522,-0.956192367166125,5.0,0.0
2008-09-01,-0.9796927093628836,-1.1051647806292921,-0.9692213253613198,5.0,0.0
2008-10-01,-0.9857576634219043,-1.175197132850177,-0.9784136519506672,5.0,-0.5
2008-11-01,-0.9899821858594723,-1.2814525703973674,-0.9848165347346488,4.5,-1.5
2008-12-01,-0.9929700786220096,-1.4227972945566651,-0.9893451240396801,3.0,-1.0
2009-01-01,-0.9950533036877378,-1.3644708133472665,-0.9925025568869733,2.0,-0.5
2009-02-01,-0.9965268723044745,-1.41760726200757,-0.994735966051336,1.5,-0.5
2009-03-01,-0.9975666352811087,-1.4624204289089173,-0.9963118792014966,1.0,-0.5
2009-04-01,-0.9982761717892595,-1.4619370043910325,-0.9973872857497595,0.5,0.0
2009-05-01,-0.9889760218428785,-1.331396537765934,-0.9981581564907659,0.5,0.0
2009-06-01,-0.6981347575445302,-0.9950273940759949,-0.9986998117817274,0.5,0.0
2009-07-01,-0.4911615481512534,-0.7777627043039274,-0.9990852733640979,0.5,0.0
2009-08-01,-0.3462289262346156,-0.7368592536234121,-0.9993551921518719,0.5,0.0
2009-09-01,-0.24339809774708587,-0.5975433526361409,-0.9995467016423111,0.5,0.0
2009-10-01,-0.17077547885051675,-0.6008953837846344,-0.9996819521400818,0.5,0.0
2009-11-01,-0.12015505806571992,-0.7056172459685432,-0.9997762263099292,0.5,0.0
2009-12-01,-0.0843349955944997,-0.5864372080735963,-0.999842936673078,0.5,0.0
2010-01-01,-0.059351839728923314,-0.6002542975936794,-0.9998894646600605,0.5,0.0
2010-02-01,-0.041675732159086175,-0.6454452722254086,-0.999922384188217,0.5,0.0
2010-03-01,-0.029201181029793737,-0.6197357184885582,-0.9947274939725449,0.5,0.0
2010-04-01,-0.020687508200390208,-0.45805637857619236,-0.8552435201881907,0.5,0.0
2010-05-01,-0.014584247594344714,-0.40310780546749186,-0.8979498003330652,0.5,0.0
2010-06-01,-0.010295515420890128,-0.11061664421256644,-0.9279593000887306,0.5,0.0
2010-07-01,-0.007243370658559404,-0.10536671490452473,-0.9493160399817788,0.5,0.0
2010-08-01,-0.005106048840666639,-0.20920445064953472,-0.9642714990726565,0.5,0.0
2010-09-01,-0.0035895708581343356,-0.2396023848811021,-0.9748827342362676,0.5,0.0
2010-10-01,-0.0025185669531615465,-0.22716238489144436,-0.9823768584027361,0.5,0.0
2010-11-01,-0.001772033328098892,-0.2270788580948734,-0.9876005701508327,0.5,0.0
2010-12-01,-0.0012437667879238727,-0.25460010894746526,-0.9912970039609065,0.5,0.0
2011-01-01,-0.0008753187314105444,-0.23488903814838535,-0.9938751416050229,0.5,0.0
2011-02-01,-0.0006146330611717584,-0.2012984196659123,-0.9892743376473291,0.5,0.0
2011-03-01,-0.0004306590209131519,-0.1704169750993572,-0.7972842924074632,0.5,0.0
2011-04-01,-0.00030509959056463954,-0.18879132053379227,-0.7858759607972867,0.5,0.0
2011-05-01,-0.0002150887481326476,-0.21032367018202228,-0.8490470883556951,0.5,0.0
2011-06-01,-0.0001518385027040842,-0.19939931201673602,-0.8934371775284226,0.5,0.0
2011-07-01,-0.00010682542748925753,-0.3131502889554985,-0.9225676178503561,0.5,0.0
2011-08-01,-7.530416065008846e-05,-0.2567887385277691,-0.8740425342106194,0.5,0.0
2011-09-01,-5.293910483173555e-05,-0.4232972476055195,-0.9114514333842997,0.5,0.0
2011-10-01,-3.714390860958165e-05,-0.5666165740378769,-0.9378712602652223,0.5,0.0
2011-11-01,-2.6134007682635033e-05,-0.5806232113397547,-0.9562869654185425,0.5,0.0
2011-12-01,-1.8343115624121802e-05,-0.43622422612515716,-0.9693183970347685,0.5,0.0
2012-01-01,-1.2909231335866005e-05,-0.42455480346310764,-0.9784073808098059,0.5,0.0
2012-02-01,-9.06463013028398e-06,-0.3615447289560712,-0.984838051049609,0.5,0.0
2012-03-01,-6.353154266335126e-06,-0.28279986619515834,-0.9792144548220941,0.5,0.0
2012-04-01,-4.484145249934978e-06,-0.1197156765266975,-0.6989690185729118,0.5,0.0
2012-05-01,-3.153654978876014e-06,-0.1026955831510314,-0.7361311848048097,0.5,0.0
2012-06-01,-2.2225303798020844e-06,-0.2485425088189473,-0.8108445306963629,0.5,0.0
2012-07-01,-1.5617853903280984e-06,-0.13545815004295267,-0.7712685706769243,0.5,0.0
2012-08-01,-1.1000246728318664e-06,-0.28116140519696414,-0.838895780901995,0.5,0.0
2012-09-01,-7.728630676759943e-07,-0.39062936623637595,-0.8868102652033323,0.5,0.0
2012-10-01,-5.420405969126078e-07,-0.2888499242159341,-0.9206153923255049,0.5,0.0
2012-11-01,-3.812620160123595e-07,-0.3622882329913733,-0.9441622348312633,0.5,0.0
2012-12-01,-2.675475866674021e-07,-0.4730463341495409,-0.9608162925012909,0.5,0.0
2013-01-01,-1.882633658558384e-07,-0.33270617367722977,-0.9660221085477022,0.5,0.0
2013-02-01,-1.3218169637499916e-07,-0.2225531569278202,-0.7791572970629989,0.5,0.0
2013-03-01,-9.260997712712279e-08,0.08076257725677431,-0.696628700968717,0.5,0.0
2013-04-01,-6.56061501707388e-08,0.07060317980583516,-0.6722573750531343,0.5,0.0
2013-05-01,-4.6249321695514356e-08,-0.02518000570333889,-0.7689565070492347,0.5,0.0
2013-06-01,-3.264817172041268e-08,-0.1103019601695378,-0.8369025240542688,0.5,0.0
