,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
61,declin,Negative,291,351.0,75,73.0,0.4532710280373832,0.5467289719626168,0.5067567567567568,0.49324324324324326
64,default,Negative,12,33.0,10,22.0,0.26666666666666666,0.7333333333333333,0.3125,0.6875
66,deficit,Negative,70,79.0,34,38.0,0.4697986577181208,0.5302013422818792,0.4722222222222222,0.5277777777777778
67,delay,Negative,40,77.0,27,42.0,0.3418803418803419,0.6581196581196581,0.391304347826087,0.6086956521739131
69,dent,Negative,7,6.0,6,6.0,0.5384615384615384,0.46153846153846156,0.5,0.5
70,depress,Negative,29,62.0,24,37.0,0.31868131868131866,0.6813186813186813,0.39344262295081966,0.6065573770491803
75,deterior,Negative,38,103.0,25,46.0,0.2695035460992908,0.7304964539007093,0.352112676056338,0.647887323943662
81,difficult,Negative,139,169.0,67,73.0,0.4512987012987013,0.5487012987012987,0.4785714285714286,0.5214285714285715
82,difficulti,Negative,37,58.0,29,40.0,0.3894736842105263,0.6105263157894737,0.42028985507246375,0.5797101449275363
84,disappoint,Negative,26,18.0,23,12.0,0.5909090909090909,0.4090909090909091,0.6571428571428571,0.34285714285714286
85,discourag,Negative,5,8.0,5,8.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.6153846153846154
87,disrupt,Negative,25,46.0,17,23.0,0.352112676056338,0.647887323943662,0.425,0.575
92,distort,Negative,13,15.0,10,13.0,0.4642857142857143,0.5357142857142857,0.43478260869565216,0.5652173913043478
98,doubt,Negative,17,14.0,15,10.0,0.5483870967741935,0.45161290322580644,0.6,0.4
99,downgrad,Negative,6,13.0,6,10.0,0.3157894736842105,0.6842105263157895,0.375,0.625
103,downsid,Negative,224,316.0,79,77.0,0.4148148148148148,0.5851851851851851,0.5064102564102564,0.4935897435897436
105,downturn,Negative,21,49.0,14,22.0,0.3,0.7,0.3888888888888889,0.6111111111111112
106,downward,Negative,150,156.0,64,65.0,0.49019607843137253,0.5098039215686274,0.49612403100775193,0.5038759689922481
107,drag,Negative,37,70.0,21,28.0,0.34579439252336447,0.6542056074766355,0.42857142857142855,0.5714285714285714
109,drop,Negative,58,76.0,35,43.0,0.43283582089552236,0.5671641791044776,0.44871794871794873,0.5512820512820513
111,effect,Positive,539,722.0,89,89.0,0.4274385408406027,0.5725614591593973,0.5,0.5
113,enabl,Positive,5,9.0,5,7.0,0.35714285714285715,0.6428571428571429,0.4166666666666667,0.5833333333333334
120,erod,Negative,16,4.0,15,4.0,0.8,0.2,0.7894736842105263,0.21052631578947367
123,eros,Negative,16,3.0,11,3.0,0.8421052631578947,0.15789473684210525,0.7857142857142857,0.21428571428571427
128,exacerb,Negative,13,20.0,11,17.0,0.3939393939393939,0.6060606060606061,0.39285714285714285,0.6071428571428571
132,excess,Negative,32,59.0,25,32.0,0.3516483516483517,0.6483516483516484,0.43859649122807015,0.5614035087719298
134,expo,Negative,1,19.0,1,10.0,0.05,0.95,0.09090909090909091,0.9090909090909091
138,fail,Negative,8,7.0,8,7.0,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667
142,failur,Negative,4,9.0,4,8.0,0.3076923076923077,0.6923076923076923,0.3333333333333333,0.6666666666666666
144,falter,Negative,7,7.0,7,7.0,0.5,0.5,0.5,0.5
147,favour,Positive,151,141.0,85,80.0,0.5171232876712328,0.4828767123287671,0.5151515151515151,0.48484848484848486
149,fear,Negative,10,17.0,9,13.0,0.37037037037037035,0.6296296296296297,0.4090909090909091,0.5909090909090909
151,forc,Negative,86,72.0,52,58.0,0.5443037974683544,0.45569620253164556,0.4727272727272727,0.5272727272727272
152,fragil,Negative,22,30.0,15,23.0,0.4230769230769231,0.5769230769230769,0.39473684210526316,0.6052631578947368
155,gain,Positive,20,29.0,16,22.0,0.40816326530612246,0.5918367346938775,0.42105263157894735,0.5789473684210527
158,good,Positive,208,191.0,74,73.0,0.5213032581453634,0.47869674185463656,0.5034013605442177,0.4965986394557823
160,grow,Positive,188,192.0,66,70.0,0.49473684210526314,0.5052631578947369,0.4852941176470588,0.5147058823529411
164,headwind,Negative,21,37.0,11,18.0,0.3620689655172414,0.6379310344827587,0.3793103448275862,0.6206896551724138
165,healthi,Positive,14,15.0,12,11.0,0.4827586206896552,0.5172413793103449,0.5217391304347826,0.4782608695652174
173,imbal,Negative,36,63.0,21,22.0,0.36363636363636365,0.6363636363636364,0.4883720930232558,0.5116279069767442
175,impair,Negative,18,15.0,10,11.0,0.5454545454545454,0.45454545454545453,0.47619047619047616,0.5238095238095238
182,improv,Positive,237,208.0,68,63.0,0.5325842696629214,0.46741573033707867,0.5190839694656488,0.48091603053435117
196,insuffici,Negative,11,13.0,10,12.0,0.4583333333333333,0.5416666666666666,0.45454545454545453,0.5454545454545454
204,lag,Negative,37,40.0,26,26.0,0.4805194805194805,0.5194805194805194,0.5,0.5
207,loss,Negative,27,35.0,16,19.0,0.43548387096774194,0.5645161290322581,0.45714285714285713,0.5428571428571428
212,mitig,Positive,14,9.0,11,9.0,0.6086956521739131,0.391304347826087,0.55,0.45
217,neg,Negative,69,104.0,43,52.0,0.3988439306358382,0.6011560693641619,0.45263157894736844,0.5473684210526316
221,opportun,Positive,15,23.0,12,19.0,0.39473684210526316,0.6052631578947368,0.3870967741935484,0.6129032258064516
222,optim,Positive,22,23.0,15,17.0,0.4888888888888889,0.5111111111111111,0.46875,0.53125
235,poor,Negative,5,11.0,5,11.0,0.3125,0.6875,0.3125,0.6875
238,pose,Negative,34,34.0,25,26.0,0.5,0.5,0.49019607843137253,0.5098039215686274
240,posit,Positive,249,175.0,81,74.0,0.5872641509433962,0.41273584905660377,0.5225806451612903,0.4774193548387097
242,prevent,Positive,17,12.0,16,10.0,0.5862068965517241,0.41379310344827586,0.6153846153846154,0.38461538461538464
243,problem,Negative,28,46.0,20,31.0,0.3783783783783784,0.6216216216216216,0.39215686274509803,0.6078431372549019
246,profit,Positive,82,126.0,46,56.0,0.3942307692307692,0.6057692307692307,0.45098039215686275,0.5490196078431373
247,prolong,Negative,24,35.0,20,22.0,0.4067796610169492,0.5932203389830508,0.47619047619047616,0.5238095238095238
249,protract,Negative,13,10.0,12,10.0,0.5652173913043478,0.43478260869565216,0.5454545454545454,0.45454545454545453
250,question,Negative,58,93.0,39,53.0,0.3841059602649007,0.6158940397350994,0.42391304347826086,0.5760869565217391
252,reassur,Positive,12,16.0,9,13.0,0.42857142857142855,0.5714285714285714,0.4090909090909091,0.5909090909090909
253,rebound,Positive,46,28.0,30,20.0,0.6216216216216216,0.3783783783783784,0.6,0.4
256,recess,Negative,71,43.0,28,25.0,0.6228070175438597,0.37719298245614036,0.5283018867924528,0.4716981132075472
258,recov,Positive,125,122.0,58,56.0,0.5060728744939271,0.4939271255060729,0.5087719298245614,0.49122807017543857
261,recoveri,Positive,438,242.0,77,66.0,0.6441176470588236,0.3558823529411765,0.5384615384615384,0.46153846153846156
265,resili,Positive,67,43.0,36,28.0,0.6090909090909091,0.39090909090909093,0.5625,0.4375
266,resolv,Positive,21,25.0,18,19.0,0.45652173913043476,0.5434782608695652,0.4864864864864865,0.5135135135135135
267,restructur,Negative,19,9.0,14,8.0,0.6785714285714286,0.32142857142857145,0.6363636363636364,0.36363636363636365
269,riskier,Negative,7,4.0,7,4.0,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.36363636363636365
272,sever,Negative,83,96.0,46,50.0,0.46368715083798884,0.5363128491620112,0.4791666666666667,0.5208333333333334
276,shortag,Negative,15,52.0,14,31.0,0.22388059701492538,0.7761194029850746,0.3111111111111111,0.6888888888888889
278,shortfal,Negative,8,22.0,7,13.0,0.26666666666666666,0.7333333333333333,0.35,0.65
288,slowdown,Negative,172,321.0,58,76.0,0.3488843813387424,0.6511156186612576,0.43283582089552236,0.5671641791044776
290,sluggish,Negative,29,11.0,18,10.0,0.725,0.275,0.6428571428571429,0.35714285714285715
295,smooth,Positive,18,34.0,13,15.0,0.34615384615384615,0.6538461538461539,0.4642857142857143,0.5357142857142857
297,solid,Positive,12,24.0,10,15.0,0.3333333333333333,0.6666666666666666,0.4,0.6
303,spillov,Negative,8,9.0,6,7.0,0.47058823529411764,0.5294117647058824,0.46153846153846156,0.5384615384615384
306,squeez,Negative,37,40.0,27,25.0,0.4805194805194805,0.5194805194805194,0.5192307692307693,0.4807692307692308
308,stabilis,Positive,59,52.0,33,30.0,0.5315315315315315,0.46846846846846846,0.5238095238095238,0.47619047619047616
311,stabil,Positive,50,38.0,27,26.0,0.5681818181818182,0.4318181818181818,0.5094339622641509,0.49056603773584906
314,stabl,Positive,84,85.0,47,51.0,0.4970414201183432,0.5029585798816568,0.47959183673469385,0.5204081632653061
320,strain,Negative,6,16.0,6,10.0,0.2727272727272727,0.7272727272727273,0.375,0.625
323,strengthen,Positive,134,99.0,60,51.0,0.575107296137339,0.4248927038626609,0.5405405405405406,0.4594594594594595
324,stress,Negative,17,28.0,9,19.0,0.37777777777777777,0.6222222222222222,0.32142857142857145,0.6785714285714286
328,success,Positive,35,32.0,22,23.0,0.5223880597014925,0.47761194029850745,0.4888888888888889,0.5111111111111111
336,ten,Negative,45,53.0,33,38.0,0.45918367346938777,0.5408163265306123,0.4647887323943662,0.5352112676056338
337,tension,Negative,15,54.0,10,26.0,0.21739130434782608,0.782608695652174,0.2777777777777778,0.7222222222222222
339,threat,Negative,9,15.0,8,13.0,0.375,0.625,0.38095238095238093,0.6190476190476191
347,turbul,Negative,10,19.0,7,13.0,0.3448275862068966,0.6551724137931034,0.35,0.65
357,undesir,Negative,7,7.0,7,7.0,0.5,0.5,0.5,0.5
359,unemploy,Negative,276,291.0,83,85.0,0.48677248677248675,0.5132275132275133,0.49404761904761907,0.5059523809523809
360,unexpectedli,Negative,27,17.0,23,15.0,0.6136363636363636,0.38636363636363635,0.6052631578947368,0.39473684210526316
366,unsustain,Negative,10,17.0,9,10.0,0.37037037037037035,0.6296296296296297,0.47368421052631576,0.5263157894736842
369,volatil,Negative,194,257.0,75,81.0,0.43015521064301554,0.5698447893569845,0.4807692307692308,0.5192307692307693
371,vulner,Negative,15,42.0,12,30.0,0.2631578947368421,0.7368421052631579,0.2857142857142857,0.7142857142857143
374,weaken,Negative,175,257.0,66,72.0,0.4050925925925926,0.5949074074074074,0.4782608695652174,0.5217391304347826
377,weaker,Negative,370,418.0,81,82.0,0.46954314720812185,0.5304568527918782,0.49693251533742333,0.5030674846625767
378,weakest,Negative,11,10.0,10,10.0,0.5238095238095238,0.47619047619047616,0.5,0.5
379,weak,Negative,543,552.0,89,85.0,0.4958904109589041,0.5041095890410959,0.5114942528735632,0.4885057471264368
382,worri,Negative,9,13.0,6,10.0,0.4090909090909091,0.5909090909090909,0.375,0.625
385,wors,Negative,7,14.0,6,10.0,0.3333333333333333,0.6666666666666666,0.375,0.625
386,worsen,Negative,12,30.0,11,22.0,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
389,worst,Negative,4,7.0,4,7.0,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.6363636363636364
