,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
2805,depreci,Negative,43,74.0,33,39.0,0.36752136752136755,0.6324786324786325,0.4583333333333333,0.5416666666666666
3149,dollar,Neutral,103,103.0,48,43.0,0.5,0.5,0.5274725274725275,0.4725274725274725
3319,earn,Neutral,26,53.0,16,21.0,0.3291139240506329,0.6708860759493671,0.43243243243243246,0.5675675675675675
3352,econom,Neutral,46,45.0,36,32.0,0.5054945054945055,0.4945054945054945,0.5294117647058824,0.47058823529411764
3357,economi,Neutral,59,104.0,35,49.0,0.3619631901840491,0.6380368098159509,0.4166666666666667,0.5833333333333334
3481,employ,Neutral,7,23.0,3,12.0,0.23333333333333334,0.7666666666666667,0.2,0.8
3607,equiti,Postive,137,148.0,68,67.0,0.4807017543859649,0.519298245614035,0.5037037037037037,0.4962962962962963
3721,exchang,Neutral,110,129.0,66,64.0,0.4602510460251046,0.5397489539748954,0.5076923076923077,0.49230769230769234
4084,financ,Neutral,6,13.0,4,10.0,0.3157894736842105,0.6842105263157895,0.2857142857142857,0.7142857142857143
4086,financi,Neutral,105,195.0,52,69.0,0.35,0.65,0.4297520661157025,0.5702479338842975
4109,firm,Neutral,15,10.0,11,8.0,0.6,0.4,0.5789473684210527,0.42105263157894735
4121,fiscal,Neutral,24,28.0,18,16.0,0.46153846153846156,0.5384615384615384,0.5294117647058824,0.47058823529411764
4431,fund,Neutral,38,76.0,28,37.0,0.3333333333333333,0.6666666666666666,0.4307692307692308,0.5692307692307692
4639,good,Neutral,5,9.0,4,7.0,0.35714285714285715,0.6428571428571429,0.36363636363636365,0.6363636363636364
5359,incom,Neutral,4,16.0,3,10.0,0.2,0.8,0.23076923076923078,0.7692307692307693
5438,industri,Neutral,7,11.0,3,8.0,0.3888888888888889,0.6111111111111112,0.2727272727272727,0.7272727272727273
5611,interest,Neutral,286,221.0,72,65.0,0.5641025641025641,0.4358974358974359,0.5255474452554745,0.4744525547445255
5675,invest,Neutral,46,50.0,28,32.0,0.4791666666666667,0.5208333333333334,0.4666666666666667,0.5333333333333333
6126,liquid,Negative,22,26.0,16,19.0,0.4583333333333333,0.5416666666666666,0.45714285714285713,0.5428571428571428
6159,loan,Neutral,4,11.0,4,9.0,0.26666666666666666,0.7333333333333333,0.3076923076923077,0.6923076923076923
6399,market,Neutral,385,554.0,77,82.0,0.410010649627263,0.5899893503727369,0.48427672955974843,0.5157232704402516
6714,monetari,Neutral,54,57.0,36,30.0,0.4864864864864865,0.5135135135135135,0.5454545454545454,0.45454545454545453
6715,money,Neutral,21,57.0,13,25.0,0.2692307692307692,0.7307692307692307,0.34210526315789475,0.6578947368421053
6743,mortgag,Neutral,12,35.0,10,18.0,0.2553191489361702,0.7446808510638298,0.35714285714285715,0.6428571428571429
7144,oil,Neutral,39,31.0,13,16.0,0.5571428571428572,0.44285714285714284,0.4482758620689655,0.5517241379310345
7278,output,Neutral,20,30.0,12,12.0,0.4,0.6,0.5,0.5
7977,price,Neutral,282,298.0,71,74.0,0.4862068965517241,0.5137931034482759,0.4896551724137931,0.5103448275862069
8041,product,Neutral,20,22.0,6,13.0,0.47619047619047616,0.5238095238095238,0.3157894736842105,0.6842105263157895
8051,profit,Postive,9,19.0,6,13.0,0.32142857142857145,0.6785714285714286,0.3157894736842105,0.6842105263157895
8168,purchas,Neutral,43,60.0,22,25.0,0.4174757281553398,0.5825242718446602,0.46808510638297873,0.5319148936170213
8267,rais,Neutral,19,23.0,15,20.0,0.4523809523809524,0.5476190476190477,0.42857142857142855,0.5714285714285714
8340,real,Neutral,69,47.0,40,30.0,0.5948275862068966,0.4051724137931034,0.5714285714285714,0.42857142857142855
8683,retail,Neutral,11,22.0,9,11.0,0.3333333333333333,0.6666666666666666,0.45,0.55
8697,return,Neutral,13,16.0,13,13.0,0.4482758620689655,0.5517241379310345,0.5,0.5
8962,sale,Neutral,6,17.0,6,12.0,0.2608695652173913,0.7391304347826086,0.3333333333333333,0.6666666666666666
9008,save,Neutral,14,6.0,9,2.0,0.7,0.3,0.8181818181818182,0.18181818181818182
9132,secur,Neutral,15,28.0,13,18.0,0.3488372093023256,0.6511627906976745,0.41935483870967744,0.5806451612903226
10188,suppli,Neutral,12,13.0,7,8.0,0.48,0.52,0.4666666666666667,0.5333333333333333
10725,trade,Neutral,37,45.0,18,25.0,0.45121951219512196,0.5487804878048781,0.4186046511627907,0.5813953488372093
10783,treasuri,Neutral,16,9.0,10,7.0,0.64,0.36,0.5882352941176471,0.4117647058823529
11020,union,Neutral,8,10.0,8,8.0,0.4444444444444444,0.5555555555555556,0.5,0.5
11757,yield,Neutral,203,138.0,61,47.0,0.5953079178885631,0.4046920821114369,0.5648148148148148,0.4351851851851852
