DATE,GBP3MTD156N
2009-07-01,1.00112652173913043478
2009-08-01,0.77787600000000000000
2009-09-01,0.60559909090909090909
2009-10-01,0.57086772727272727273
2009-11-01,0.60936047619047619048
2009-12-01,0.60568714285714285714
2010-01-01,0.61303400000000000000
2010-02-01,0.63309650000000000000
2010-03-01,0.64549130434782608696
2010-04-01,0.65679850000000000000
2010-05-01,0.69746842105263157895
2010-06-01,0.72838818181818181818
2010-07-01,0.73602909090909090909
2010-08-01,0.73328619047619047619
2010-09-01,0.72859318181818181818
2010-10-01,0.73839714285714285714
2010-11-01,0.73900727272727272727
2010-12-01,0.74916809523809523810
2011-01-01,0.76922150000000000000
2011-02-01,0.79962100000000000000
2011-03-01,0.80913304347826086957
2011-04-01,0.82108000000000000000
2011-05-01,0.82337800000000000000
2011-06-01,0.82511545454545454545
2011-07-01,0.82889904761904761905
2011-08-01,0.85670727272727272727
2011-09-01,0.91809772727272727273
2011-10-01,0.96990571428571428571
2011-11-01,1.01182045454545454545
2011-12-01,1.0599010000000000
2012-01-01,1.0874290476190476
2012-02-01,1.0724857142857143
2012-03-01,1.03757363636363636364
2012-04-01,1.01743684210526315789
2012-05-01,1.00474545454545454545
2012-06-01,0.94548368421052631579
2012-07-01,0.81734909090909090909
2012-08-01,0.70545681818181818182
2012-09-01,0.64803400000000000000
2012-10-01,0.54397043478260869565
2012-11-01,0.52451954545454545455
2012-12-01,0.51871842105263157895
2013-01-01,0.51215909090909090909
2013-02-01,0.50987650000000000000
2013-03-01,0.50688000000000000000
2013-04-01,0.50551095238095238095
2013-05-01,0.50563000000000000000
2013-06-01,0.50793900000000000000
2013-07-01,0.50944217391304347826
2013-08-01,0.51256190476190476190
2013-09-01,0.51687571428571428571
2013-10-01,0.51663391304347826087
2013-11-01,0.52344333333333333333
2013-12-01,0.52443750000000000000
2014-01-01,0.52072636363636363636
2014-02-01,0.52153500000000000000
2014-03-01,0.52157476190476190476
2014-04-01,0.52666250000000000000
2014-05-01,0.52751800000000000000
2014-06-01,0.54394000000000000000
2014-07-01,0.55640739130434782609
2014-08-01,0.56104550000000000000
2014-09-01,0.56291409090909090909
2014-10-01,0.55835913043478260870
2014-11-01,0.55627700000000000000
2014-12-01,0.55804428571428571429
2015-01-01,0.56253095238095238095
2015-02-01,0.56362750000000000000
2015-03-01,0.56436000000000000000
2015-04-01,0.56954850000000000000
2015-05-01,0.56786473684210526316
2015-06-01,0.57188000000000000000
2015-07-01,0.58083608695652173913
2015-08-01,0.58669350000000000000
2015-09-01,0.58575863636363636364
2015-10-01,0.58006136363636363636
2015-11-01,0.57370761904761904762
2015-12-01,0.58227666666666666667
2016-01-01,0.58972900000000000000
2016-02-01,0.59072523809523809524
2016-03-01,0.58825904761904761905
2016-04-01,0.58889761904761904762
2016-05-01,0.58924200000000000000
2016-06-01,0.57467636363636363636
2016-07-01,0.51360285714285714286
2016-08-01,0.40688227272727272727
2016-09-01,0.37906636363636363636
2016-10-01,0.39749619047619047619
2016-11-01,0.39772681818181818182
2016-12-01,0.37327850000000000000
2017-01-01,0.36188714285714285714
2017-02-01,0.35673850000000000000
2017-03-01,0.34567000000000000000
2017-04-01,0.33467000000000000000
2017-05-01,0.31065904761904761905
2017-06-01,0.29442454545454545455
2017-07-01,0.29310095238095238095
2017-08-01,0.28123045454545454545
2017-09-01,0.30910523809523809524
2017-10-01,0.38187363636363636364
2017-11-01,0.51857181818181818182
2017-12-01,0.51907000000000000000
2018-01-01,0.52256909090909090909
2018-02-01,0.54682700000000000000
2018-03-01,0.62445333333333333333
2018-04-01,0.75851750000000000000
2018-05-01,0.64372095238095238095
2018-06-01,0.63868095238095238095
2018-07-01,0.74618909090909090909
2018-08-01,0.80517227272727272727
2018-09-01,0.80093500000000000000
2018-10-01,0.80618130434782608696
2018-11-01,0.87483318181818181818
2018-12-01,0.90415894736842105263
2019-01-01,0.91848227272727272727
2019-02-01,0.87598350000000000000
2019-03-01,0.84185142857142857143
2019-04-01,0.82492750000000000000
2019-05-01,0.80382952380952380952
2019-06-01,0.78306450000000000000
2019-07-01,0.77131652173913043478
2019-08-01,0.76493142857142857143
2019-09-01,0.77069285714285714286
2019-10-01,0.78395869565217391304
2019-11-01,0.79440190476190476190
2019-12-01,0.78962900000000000000
2020-01-01,0.73725227272727272727
2020-02-01,0.74623350000000000000
2020-03-01,0.53220681818181818182
2020-04-01,0.64417000000000000000
2020-05-01,0.32673210526315789474
2020-06-01,.
