DATE,GBP12MD156N
2009-07-01,1.5341260869565217
2009-08-01,1.3105625000000000
2009-09-01,1.1442622727272727
2009-10-01,1.1337522727272727
2009-11-01,1.2033052380952381
2009-12-01,1.2357900000000000
2010-01-01,1.2625340000000000
2010-02-01,1.2826270000000000
2010-03-01,1.3105734782608696
2010-04-01,1.3377835000000000
2010-05-01,1.3998878947368421
2010-06-01,1.4513159090909091
2010-07-01,1.4648181818181818
2010-08-01,1.4677614285714286
2010-09-01,1.4677727272727273
2010-10-01,1.4746409523809524
2010-11-01,1.4838559090909091
2010-12-01,1.5014914285714286
2011-01-01,1.5259085000000000
2011-02-01,1.5694535000000000
2011-03-01,1.5866865217391304
2011-04-01,1.5989438888888889
2011-05-01,1.5855315000000000
2011-06-01,1.5783536363636364
2011-07-01,1.5830061904761905
2011-08-01,1.6150863636363636
2011-09-01,1.6817636363636364
2011-10-01,1.7395400000000000
2011-11-01,1.7910654545454545
2011-12-01,1.8452640000000000
2012-01-01,1.8866261904761905
2012-02-01,1.8897790476190476
2012-03-01,1.8695822727272727
2012-04-01,1.8604478947368421
2012-05-01,1.8533895454545455
2012-06-01,1.7602594736842105
2012-07-01,1.5844572727272727
2012-08-01,1.4348813636363636
2012-09-01,1.3644590000000000
2012-10-01,1.1569865217391304
2012-11-01,1.0539222727272727
2012-12-01,1.01704157894736842105
2013-01-01,0.99923545454545454545
2013-02-01,0.96147050000000000000
2013-03-01,0.91215950000000000000
2013-04-01,0.89759142857142857143
2013-05-01,0.88420000000000000000
2013-06-01,0.89637700000000000000
2013-07-01,0.87840000000000000000
2013-08-01,0.87443571428571428571
2013-09-01,0.88229476190476190476
2013-10-01,0.87682130434782608696
2013-11-01,0.87782333333333333333
2013-12-01,0.88428200000000000000
2014-01-01,0.89882500000000000000
2014-02-01,0.89218950000000000000
2014-03-01,0.89920047619047619048
2014-04-01,0.91318900000000000000
2014-05-01,0.93560850000000000000
2014-06-01,0.99953095238095238095
2014-07-01,1.0620243478260870
2014-08-01,1.0555315000000000
2014-09-01,1.0535181818181818
2014-10-01,1.01809086956521739130
2014-11-01,0.99181450000000000000
2014-12-01,0.97507333333333333333
2015-01-01,0.96202238095238095238
2015-02-01,0.96865750000000000000
2015-03-01,0.97486863636363636364
2015-04-01,0.97750250000000000000
2015-05-01,0.99799842105263157895
2015-06-01,1.01809909090909090909
2015-07-01,1.0583652173913043
2015-08-01,1.0606395000000000
2015-09-01,1.0516690909090909
2015-10-01,1.03174045454545454545
2015-11-01,1.03782666666666666667
2015-12-01,1.0518347619047619
2016-01-01,1.02861500000000000000
2016-02-01,0.99921142857142857143
2016-03-01,1.01031142857142857143
2016-04-01,1.01168190476190476190
2016-05-01,0.99940800000000000000
2016-06-01,0.96065227272727272727
2016-07-01,0.82786761904761904762
2016-08-01,0.74251136363636363636
2016-09-01,0.74616045454545454545
2016-10-01,0.79340523809523809524
2016-11-01,0.80514863636363636364
2016-12-01,0.79152200000000000000
2017-01-01,0.77566285714285714286
2017-02-01,0.75000100000000000000
2017-03-01,0.72609086956521739130
2017-04-01,0.69592444444444444444
2017-05-01,0.66181666666666666667
2017-06-01,0.63535590909090909091
2017-07-01,0.64669333333333333333
2017-08-01,0.60243363636363636364
2017-09-01,0.66294761904761904762
2017-10-01,0.74714954545454545455
2017-11-01,0.77584772727272727273
2017-12-01,0.76910789473684210526
2018-01-01,0.77933590909090909091
2018-02-01,0.86066350000000000000
2018-03-01,0.94352000000000000000
2018-04-01,1.03143650000000000000
2018-05-01,0.93062142857142857143
2018-06-01,0.93862952380952380952
2018-07-01,1.01268863636363636364
2018-08-01,1.0459813636363636
2018-09-01,1.0510770000000000
2018-10-01,1.0718939130434783
2018-11-01,1.1387913636363636
2018-12-01,1.1596394736842105
2019-01-01,1.1733263636363636
2019-02-01,1.1416900000000000
2019-03-01,1.1019804761904762
2019-04-01,1.0838965000000000
2019-05-01,1.0481333333333333
2019-06-01,0.97482100000000000000
2019-07-01,0.87762217391304347826
2019-08-01,0.84425809523809523810
2019-09-01,0.90958666666666666667
2019-10-01,0.94145869565217391304
2019-11-01,0.96013238095238095238
2019-12-01,0.96947200000000000000
2020-01-01,0.86431045454545454545
2020-02-01,0.86966400000000000000
2020-03-01,0.71330363636363636364
2020-04-01,0.85636500000000000000
2020-05-01,0.67131842105263157895
