,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
commerci,9.0,0.0,6.0,0.0,0.6,0.0,1.0
committe,100.0,72.0,107.0,0.25806451612903225,0.35842293906810035,0.4186046511627907,0.5813953488372093
commod,11.0,5.0,4.0,0.25,0.55,0.3125,0.6875
common,6.0,5.0,4.0,0.3333333333333333,0.4,0.45454545454545453,0.5454545454545454
commun,6.0,4.0,15.0,0.16,0.24,0.4,0.6
compani,38.0,22.0,35.0,0.23157894736842105,0.4,0.36666666666666664,0.6333333333333333
compar,35.0,30.0,35.0,0.3,0.35,0.46153846153846156,0.5384615384615384
comparison,4.0,5.0,2.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
compens,4.0,5.0,13.0,0.22727272727272727,0.18181818181818182,0.5555555555555556,0.4444444444444444
competit,9.0,5.0,4.0,0.2777777777777778,0.5,0.35714285714285715,0.6428571428571429
compon,5.0,2.0,11.0,0.1111111111111111,0.2777777777777778,0.2857142857142857,0.7142857142857143
compress,5.0,6.0,0.0,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453
concern,43.0,36.0,38.0,0.3076923076923077,0.36752136752136755,0.45569620253164556,0.5443037974683544
conclud,3.0,4.0,4.0,0.36363636363636365,0.2727272727272727,0.5714285714285714,0.42857142857142855
conclus,7.0,1.0,6.0,0.07142857142857142,0.5,0.125,0.875
condit,52.0,25.0,47.0,0.20161290322580644,0.41935483870967744,0.3246753246753247,0.6753246753246753
conduct,4.0,5.0,6.0,0.3333333333333333,0.26666666666666666,0.5555555555555556,0.4444444444444444
confid,14.0,6.0,17.0,0.16216216216216217,0.3783783783783784,0.3,0.7
confirm,2.0,2.0,11.0,0.13333333333333333,0.13333333333333333,0.5,0.5
consequ,7.0,16.0,11.0,0.47058823529411764,0.20588235294117646,0.6956521739130435,0.30434782608695654
consid,6.0,12.0,11.0,0.41379310344827586,0.20689655172413793,0.6666666666666666,0.3333333333333333
consider,20.0,12.0,13.0,0.26666666666666666,0.4444444444444444,0.375,0.625
consist,45.0,41.0,60.0,0.2808219178082192,0.3082191780821918,0.47674418604651164,0.5232558139534884
consum,16.0,9.0,20.0,0.2,0.35555555555555557,0.36,0.64
consumpt,10.0,9.0,8.0,0.3333333333333333,0.37037037037037035,0.47368421052631576,0.5263157894736842
contact,29.0,8.0,42.0,0.10126582278481013,0.3670886075949367,0.21621621621621623,0.7837837837837838
contain,6.0,4.0,8.0,0.2222222222222222,0.3333333333333333,0.4,0.6
context,4.0,4.0,8.0,0.25,0.25,0.5,0.5
continent,6.0,2.0,4.0,0.16666666666666666,0.5,0.25,0.75
continu,74.0,65.0,96.0,0.2765957446808511,0.3148936170212766,0.4676258992805755,0.5323741007194245
contract,5.0,8.0,13.0,0.3076923076923077,0.19230769230769232,0.6153846153846154,0.38461538461538464
contrast,24.0,36.0,17.0,0.4675324675324675,0.3116883116883117,0.6,0.4
contribut,18.0,16.0,15.0,0.32653061224489793,0.3673469387755102,0.47058823529411764,0.5294117647058824
corpor,70.0,58.0,67.0,0.29743589743589743,0.358974358974359,0.453125,0.546875
correct,9.0,8.0,8.0,0.32,0.36,0.47058823529411764,0.5294117647058824
correl,6.0,5.0,11.0,0.22727272727272727,0.2727272727272727,0.45454545454545453,0.5454545454545454
correspond,7.0,2.0,4.0,0.15384615384615385,0.5384615384615384,0.2222222222222222,0.7777777777777778
cost,37.0,20.0,31.0,0.22727272727272727,0.42045454545454547,0.3508771929824561,0.6491228070175439
could,57.0,46.0,42.0,0.31724137931034485,0.3931034482758621,0.44660194174757284,0.5533980582524272
council,6.0,4.0,24.0,0.11764705882352941,0.17647058823529413,0.4,0.6
countri,29.0,42.0,47.0,0.3559322033898305,0.2457627118644068,0.5915492957746479,0.4084507042253521
cours,8.0,8.0,6.0,0.36363636363636365,0.36363636363636365,0.5,0.5
cover,4.0,2.0,8.0,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.6666666666666666
covid,0.0,0.0,11.0,0.0,0.0,,
cpi,7.0,12.0,8.0,0.4444444444444444,0.25925925925925924,0.631578947368421,0.3684210526315789
credit,48.0,22.0,38.0,0.2037037037037037,0.4444444444444444,0.3142857142857143,0.6857142857142857
crisi,11.0,12.0,35.0,0.20689655172413793,0.1896551724137931,0.5217391304347826,0.4782608695652174
currenc,40.0,21.0,40.0,0.2079207920792079,0.39603960396039606,0.3442622950819672,0.6557377049180327
current,39.0,22.0,22.0,0.26506024096385544,0.46987951807228917,0.36065573770491804,0.639344262295082
curv,19.0,34.0,58.0,0.3063063063063063,0.17117117117117117,0.6415094339622641,0.3584905660377358
cut,27.0,12.0,47.0,0.13953488372093023,0.313953488372093,0.3076923076923077,0.6923076923076923
cycl,10.0,1.0,2.0,0.07692307692307693,0.7692307692307693,0.09090909090909091,0.9090909090909091
cyclic,4.0,5.0,6.0,0.3333333333333333,0.26666666666666666,0.5555555555555556,0.4444444444444444
data,58.0,48.0,85.0,0.2513089005235602,0.3036649214659686,0.4528301886792453,0.5471698113207547
date,6.0,13.0,26.0,0.28888888888888886,0.13333333333333333,0.6842105263157895,0.3157894736842105
day,27.0,26.0,53.0,0.24528301886792453,0.25471698113207547,0.49056603773584906,0.5094339622641509
deal,6.0,1.0,15.0,0.045454545454545456,0.2727272727272727,0.14285714285714285,0.8571428571428571
debt,31.0,33.0,33.0,0.3402061855670103,0.31958762886597936,0.515625,0.484375
decad,6.0,5.0,6.0,0.29411764705882354,0.35294117647058826,0.45454545454545453,0.5454545454545454
decemb,24.0,17.0,26.0,0.2537313432835821,0.3582089552238806,0.4146341463414634,0.5853658536585366
decis,20.0,17.0,26.0,0.2698412698412698,0.31746031746031744,0.4594594594594595,0.5405405405405406
declin,41.0,46.0,58.0,0.31724137931034485,0.2827586206896552,0.5287356321839081,0.47126436781609193
decreas,4.0,12.0,6.0,0.5454545454545454,0.18181818181818182,0.75,0.25
default,24.0,9.0,6.0,0.23076923076923078,0.6153846153846154,0.2727272727272727,0.7272727272727273
deficit,15.0,16.0,0.0,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.4838709677419355
degre,13.0,14.0,8.0,0.4,0.37142857142857144,0.5185185185185185,0.48148148148148145
demand,52.0,24.0,51.0,0.1889763779527559,0.4094488188976378,0.3157894736842105,0.6842105263157895
denomin,9.0,6.0,0.0,0.4,0.6,0.4,0.6
depend,10.0,6.0,4.0,0.3,0.5,0.375,0.625
deposit,9.0,6.0,15.0,0.2,0.3,0.4,0.6
depreci,52.0,44.0,56.0,0.2894736842105263,0.34210526315789475,0.4583333333333333,0.5416666666666666
deriv,20.0,14.0,8.0,0.3333333333333333,0.47619047619047616,0.4117647058823529,0.5882352941176471
desir,2.0,8.0,4.0,0.5714285714285714,0.14285714285714285,0.8,0.2
despit,25.0,29.0,31.0,0.3411764705882353,0.29411764705882354,0.5370370370370371,0.46296296296296297
deterior,23.0,9.0,15.0,0.19148936170212766,0.48936170212765956,0.28125,0.71875
develop,51.0,41.0,51.0,0.2867132867132867,0.35664335664335667,0.44565217391304346,0.5543478260869565
differ,22.0,17.0,11.0,0.34,0.44,0.4358974358974359,0.5641025641025641
differenti,10.0,13.0,6.0,0.4482758620689655,0.3448275862068966,0.5652173913043478,0.43478260869565216
difficult,28.0,14.0,11.0,0.2641509433962264,0.5283018867924528,0.3333333333333333,0.6666666666666666
direct,14.0,8.0,8.0,0.26666666666666666,0.4666666666666667,0.36363636363636365,0.6363636363636364
discus,38.0,18.0,20.0,0.23684210526315788,0.5,0.32142857142857145,0.6785714285714286
distort,3.0,5.0,6.0,0.35714285714285715,0.21428571428571427,0.625,0.375
distribut,5.0,5.0,4.0,0.35714285714285715,0.35714285714285715,0.5,0.5
diverg,9.0,2.0,11.0,0.09090909090909091,0.4090909090909091,0.18181818181818182,0.8181818181818182
dollar,58.0,64.0,69.0,0.33507853403141363,0.3036649214659686,0.5245901639344263,0.47540983606557374
domest,37.0,20.0,42.0,0.20202020202020202,0.37373737373737376,0.3508771929824561,0.6491228070175439
downgrad,9.0,1.0,8.0,0.05555555555555555,0.5,0.1,0.9
downsid,27.0,8.0,17.0,0.15384615384615385,0.5192307692307693,0.22857142857142856,0.7714285714285715
downward,29.0,13.0,8.0,0.26,0.58,0.30952380952380953,0.6904761904761905
