,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
might,95.0,96.0,92.0,0.3392226148409894,0.33568904593639576,0.5026178010471204,0.4973821989528796
millennium,10.0,1.0,0.0,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.9090909090909091
mix,49.0,29.0,33.0,0.26126126126126126,0.44144144144144143,0.3717948717948718,0.6282051282051282
model,7.0,2.0,4.0,0.15384615384615385,0.5384615384615384,0.2222222222222222,0.7777777777777778
moder,32.0,24.0,26.0,0.2926829268292683,0.3902439024390244,0.42857142857142855,0.5714285714285714
modest,30.0,33.0,22.0,0.38823529411764707,0.35294117647058826,0.5238095238095238,0.47619047619047616
modestli,6.0,8.0,11.0,0.32,0.24,0.5714285714285714,0.42857142857142855
momentum,9.0,10.0,22.0,0.24390243902439024,0.21951219512195122,0.5263157894736842,0.47368421052631576
monetari,32.0,32.0,24.0,0.36363636363636365,0.36363636363636365,0.5,0.5
money,65.0,66.0,31.0,0.4074074074074074,0.4012345679012346,0.5038167938931297,0.4961832061068702
monitor,6.0,6.0,6.0,0.3333333333333333,0.3333333333333333,0.5,0.5
month,109.0,102.0,101.0,0.3269230769230769,0.34935897435897434,0.4834123222748815,0.5165876777251185
monthli,39.0,45.0,38.0,0.36885245901639346,0.319672131147541,0.5357142857142857,0.4642857142857143
moreov,23.0,26.0,22.0,0.36619718309859156,0.323943661971831,0.5306122448979592,0.46938775510204084
mori,10.0,0.0,11.0,0.0,0.47619047619047616,0.0,1.0
mortgag,78.0,49.0,71.0,0.2474747474747475,0.3939393939393939,0.3858267716535433,0.6141732283464567
mostli,2.0,4.0,6.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
motor,6.0,1.0,4.0,0.09090909090909091,0.5454545454545454,0.14285714285714285,0.8571428571428571
move,19.0,14.0,20.0,0.2641509433962264,0.3584905660377358,0.42424242424242425,0.5757575757575758
movement,25.0,22.0,24.0,0.30985915492957744,0.352112676056338,0.46808510638297873,0.5319148936170213
mpc,12.0,18.0,20.0,0.36,0.24,0.6,0.4
much,58.0,57.0,44.0,0.3584905660377358,0.36477987421383645,0.4956521739130435,0.5043478260869565
narrow,10.0,10.0,17.0,0.2702702702702703,0.2702702702702703,0.5,0.5
nation,39.0,46.0,20.0,0.4380952380952381,0.37142857142857144,0.5411764705882353,0.4588235294117647
nationwid,37.0,33.0,35.0,0.3142857142857143,0.3523809523809524,0.4714285714285714,0.5285714285714286
natur,5.0,5.0,8.0,0.2777777777777778,0.2777777777777778,0.5,0.5
near,35.0,30.0,38.0,0.2912621359223301,0.33980582524271846,0.46153846153846156,0.5384615384615384
nearli,17.0,17.0,11.0,0.37777777777777777,0.37777777777777777,0.5,0.5
necessari,5.0,6.0,8.0,0.3157894736842105,0.2631578947368421,0.5454545454545454,0.45454545454545453
necessarili,9.0,4.0,4.0,0.23529411764705882,0.5294117647058824,0.3076923076923077,0.6923076923076923
need,24.0,24.0,22.0,0.34285714285714286,0.34285714285714286,0.5,0.5
neg,34.0,26.0,38.0,0.2653061224489796,0.3469387755102041,0.43333333333333335,0.5666666666666667
net,83.0,90.0,74.0,0.3643724696356275,0.3360323886639676,0.5202312138728323,0.4797687861271676
neutral,8.0,2.0,4.0,0.14285714285714285,0.5714285714285714,0.2,0.8
nevertheless,26.0,32.0,35.0,0.34408602150537637,0.27956989247311825,0.5517241379310345,0.4482758620689655
new,76.0,62.0,80.0,0.28440366972477066,0.3486238532110092,0.4492753623188406,0.5507246376811594
