,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
surpris,21.0,12.0,4.0,0.32432432432432434,0.5675675675675675,0.36363636363636365,0.6363636363636364
surprisingli,12.0,9.0,7.0,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.5714285714285714
survey,107.0,78.0,48.0,0.33476394849785407,0.4592274678111588,0.42162162162162165,0.5783783783783784
sustain,15.0,16.0,8.0,0.41025641025641024,0.38461538461538464,0.5161290322580645,0.4838709677419355
swap,5.0,3.0,6.0,0.21428571428571427,0.35714285714285715,0.375,0.625
take,29.0,18.0,12.0,0.3050847457627119,0.4915254237288136,0.3829787234042553,0.6170212765957447
taken,26.0,13.0,11.0,0.26,0.52,0.3333333333333333,0.6666666666666666
target,54.0,46.0,31.0,0.3511450381679389,0.4122137404580153,0.46,0.54
tax,14.0,19.0,9.0,0.4523809523809524,0.3333333333333333,0.5757575757575758,0.42424242424242425
temporari,30.0,33.0,12.0,0.44,0.4,0.5238095238095238,0.47619047619047616
temporarili,8.0,11.0,6.0,0.44,0.32,0.5789473684210527,0.42105263157894735
ten,23.0,11.0,16.0,0.22,0.46,0.3235294117647059,0.6764705882352942
tend,15.0,13.0,10.0,0.34210526315789475,0.39473684210526316,0.4642857142857143,0.5357142857142857
term,87.0,63.0,41.0,0.3298429319371728,0.45549738219895286,0.42,0.58
thereaft,9.0,4.0,2.0,0.26666666666666666,0.6,0.3076923076923077,0.6923076923076923
therefor,20.0,12.0,6.0,0.3157894736842105,0.5263157894736842,0.375,0.625
thing,5.0,5.0,1.0,0.45454545454545453,0.45454545454545453,0.5,0.5
third,23.0,16.0,13.0,0.3076923076923077,0.4423076923076923,0.41025641025641024,0.5897435897435898
though,27.0,22.0,6.0,0.4,0.4909090909090909,0.4489795918367347,0.5510204081632653
thought,18.0,19.0,13.0,0.38,0.36,0.5135135135135135,0.4864864864864865
three,98.0,68.0,44.0,0.3238095238095238,0.4666666666666667,0.40963855421686746,0.5903614457831325
throughout,3.0,8.0,4.0,0.5333333333333333,0.2,0.7272727272727273,0.2727272727272727
thu,6.0,3.0,3.0,0.25,0.5,0.3333333333333333,0.6666666666666666
tick,11.0,6.0,4.0,0.2857142857142857,0.5238095238095238,0.35294117647058826,0.6470588235294118
tight,39.0,10.0,10.0,0.1694915254237288,0.6610169491525424,0.20408163265306123,0.7959183673469388
tighten,27.0,9.0,12.0,0.1875,0.5625,0.25,0.75
time,83.0,67.0,43.0,0.3471502590673575,0.43005181347150256,0.44666666666666666,0.5533333333333333
tobacco,13.0,7.0,5.0,0.28,0.52,0.35,0.65
togeth,26.0,18.0,14.0,0.3103448275862069,0.4482758620689655,0.4090909090909091,0.5909090909090909
top,3.0,5.0,3.0,0.45454545454545453,0.2727272727272727,0.625,0.375
total,35.0,34.0,24.0,0.3655913978494624,0.3763440860215054,0.4927536231884058,0.5072463768115942
touch,8.0,1.0,4.0,0.07692307692307693,0.6153846153846154,0.1111111111111111,0.8888888888888888
toward,21.0,15.0,14.0,0.3,0.42,0.4166666666666667,0.5833333333333334
trade,23.0,10.0,11.0,0.22727272727272727,0.5227272727272727,0.30303030303030304,0.696969696969697
trend,39.0,26.0,19.0,0.30952380952380953,0.4642857142857143,0.4,0.6
tuition,4.0,3.0,5.0,0.25,0.3333333333333333,0.42857142857142855,0.5714285714285714
turn,30.0,18.0,8.0,0.32142857142857145,0.5357142857142857,0.375,0.625
twelv,72.0,46.0,39.0,0.2929936305732484,0.4585987261146497,0.3898305084745763,0.6101694915254238
two,46.0,31.0,25.0,0.30392156862745096,0.45098039215686275,0.4025974025974026,0.5974025974025974
typic,12.0,10.0,7.0,0.3448275862068966,0.41379310344827586,0.45454545454545453,0.5454545454545454
uk,24.0,18.0,11.0,0.33962264150943394,0.4528301886792453,0.42857142857142855,0.5714285714285714
uncertain,19.0,17.0,6.0,0.40476190476190477,0.4523809523809524,0.4722222222222222,0.5277777777777778
uncertainti,22.0,22.0,15.0,0.3728813559322034,0.3728813559322034,0.5,0.5
unchang,38.0,30.0,19.0,0.3448275862068966,0.4367816091954023,0.4411764705882353,0.5588235294117647
unclear,15.0,10.0,3.0,0.35714285714285715,0.5357142857142857,0.4,0.6
underli,38.0,21.0,15.0,0.28378378378378377,0.5135135135135135,0.3559322033898305,0.6440677966101694
unemploy,101.0,74.0,45.0,0.33636363636363636,0.4590909090909091,0.4228571428571429,0.5771428571428572
unexpect,7.0,2.0,3.0,0.16666666666666666,0.5833333333333334,0.2222222222222222,0.7777777777777778
union,3.0,6.0,4.0,0.46153846153846156,0.23076923076923078,0.6666666666666666,0.3333333333333333
unit,55.0,29.0,33.0,0.24786324786324787,0.4700854700854701,0.34523809523809523,0.6547619047619048
univers,5.0,3.0,6.0,0.21428571428571427,0.35714285714285715,0.375,0.625
unlik,11.0,14.0,6.0,0.45161290322580644,0.3548387096774194,0.56,0.44
unusu,15.0,12.0,13.0,0.3,0.375,0.4444444444444444,0.5555555555555556
unwind,10.0,8.0,5.0,0.34782608695652173,0.43478260869565216,0.4444444444444444,0.5555555555555556
upon,5.0,9.0,2.0,0.5625,0.3125,0.6428571428571429,0.35714285714285715
upsid,26.0,13.0,6.0,0.28888888888888886,0.5777777777777777,0.3333333333333333,0.6666666666666666
upward,43.0,24.0,14.0,0.2962962962962963,0.5308641975308642,0.3582089552238806,0.6417910447761194
use,23.0,11.0,7.0,0.2682926829268293,0.5609756097560976,0.3235294117647059,0.6764705882352942
usual,25.0,15.0,15.0,0.2727272727272727,0.45454545454545453,0.375,0.625
util,25.0,16.0,15.0,0.2857142857142857,0.44642857142857145,0.3902439024390244,0.6097560975609756
