,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
soft,20.0,17.0,17.0,0.3148148148148148,0.37037037037037035,0.4594594594594595,0.5405405405405406
soften,36.0,34.0,53.0,0.2764227642276423,0.2926829268292683,0.4857142857142857,0.5142857142857142
softer,22.0,33.0,31.0,0.38372093023255816,0.2558139534883721,0.6,0.4
sole,8.0,1.0,2.0,0.09090909090909091,0.7272727272727273,0.1111111111111111,0.8888888888888888
solid,20.0,13.0,26.0,0.22033898305084745,0.3389830508474576,0.3939393939393939,0.6060606060606061
someth,8.0,4.0,6.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666
sometim,7.0,5.0,2.0,0.35714285714285715,0.5,0.4166666666666667,0.5833333333333334
somewhat,92.0,100.0,76.0,0.373134328358209,0.34328358208955223,0.5208333333333334,0.4791666666666667
soon,48.0,33.0,26.0,0.308411214953271,0.4485981308411215,0.4074074074074074,0.5925925925925926
sooner,10.0,6.0,2.0,0.3333333333333333,0.5555555555555556,0.375,0.625
sought,17.0,14.0,20.0,0.27450980392156865,0.3333333333333333,0.45161290322580644,0.5483870967741935
sourc,46.0,42.0,65.0,0.27450980392156865,0.3006535947712418,0.4772727272727273,0.5227272727272727
south,10.0,10.0,11.0,0.3225806451612903,0.3225806451612903,0.5,0.5
sovereign,18.0,17.0,26.0,0.2786885245901639,0.29508196721311475,0.4857142857142857,0.5142857142857142
spain,18.0,13.0,13.0,0.29545454545454547,0.4090909090909091,0.41935483870967744,0.5806451612903226
spanish,12.0,2.0,4.0,0.1111111111111111,0.6666666666666666,0.14285714285714285,0.8571428571428571
spare,58.0,72.0,60.0,0.37894736842105264,0.30526315789473685,0.5538461538461539,0.4461538461538462
special,32.0,28.0,31.0,0.3076923076923077,0.3516483516483517,0.4666666666666667,0.5333333333333333
specif,15.0,12.0,24.0,0.23529411764705882,0.29411764705882354,0.4444444444444444,0.5555555555555556
specifi,1.0,14.0,11.0,0.5384615384615384,0.038461538461538464,0.9333333333333333,0.06666666666666667
specul,18.0,14.0,11.0,0.32558139534883723,0.4186046511627907,0.4375,0.5625
speed,20.0,36.0,29.0,0.4235294117647059,0.23529411764705882,0.6428571428571429,0.35714285714285715
spencer,16.0,22.0,13.0,0.43137254901960786,0.3137254901960784,0.5789473684210527,0.42105263157894735
spend,113.0,106.0,112.0,0.3202416918429003,0.3413897280966767,0.4840182648401826,0.5159817351598174
spent,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
spike,15.0,10.0,4.0,0.3448275862068966,0.5172413793103449,0.4,0.6
spill,7.0,5.0,6.0,0.2777777777777778,0.3888888888888889,0.4166666666666667,0.5833333333333334
spillov,10.0,8.0,17.0,0.22857142857142856,0.2857142857142857,0.4444444444444444,0.5555555555555556
spite,1.0,4.0,6.0,0.36363636363636365,0.09090909090909091,0.8,0.2
spot,30.0,38.0,38.0,0.3584905660377358,0.2830188679245283,0.5588235294117647,0.4411764705882353
spread,89.0,81.0,89.0,0.3127413127413127,0.3436293436293436,0.4764705882352941,0.5235294117647059
spring,20.0,12.0,49.0,0.14814814814814814,0.24691358024691357,0.375,0.625
squeez,34.0,36.0,11.0,0.4444444444444444,0.41975308641975306,0.5142857142857142,0.4857142857142857
stabil,35.0,36.0,49.0,0.3,0.2916666666666667,0.5070422535211268,0.49295774647887325
stabilis,40.0,44.0,51.0,0.32592592592592595,0.2962962962962963,0.5238095238095238,0.47619047619047616
stabl,68.0,62.0,76.0,0.30097087378640774,0.3300970873786408,0.47692307692307695,0.5230769230769231
staff,65.0,46.0,96.0,0.2222222222222222,0.3140096618357488,0.4144144144144144,0.5855855855855856
stage,37.0,41.0,29.0,0.38317757009345793,0.34579439252336447,0.5256410256410257,0.47435897435897434
stall,5.0,2.0,4.0,0.18181818181818182,0.45454545454545453,0.2857142857142857,0.7142857142857143
stamp,8.0,2.0,2.0,0.16666666666666666,0.6666666666666666,0.2,0.8
stanc,50.0,58.0,62.0,0.3411764705882353,0.29411764705882354,0.5370370370370371,0.46296296296296297
stand,8.0,16.0,15.0,0.41025641025641024,0.20512820512820512,0.6666666666666666,0.3333333333333333
standard,50.0,54.0,47.0,0.3576158940397351,0.33112582781456956,0.5192307692307693,0.4807692307692308
start,88.0,77.0,89.0,0.3031496062992126,0.3464566929133858,0.4666666666666667,0.5333333333333333
state,106.0,113.0,112.0,0.3413897280966767,0.3202416918429003,0.5159817351598174,0.4840182648401826
statement,21.0,22.0,26.0,0.3188405797101449,0.30434782608695654,0.5116279069767442,0.4883720930232558
statist,26.0,28.0,17.0,0.39436619718309857,0.36619718309859156,0.5185185185185185,0.48148148148148145
stay,13.0,12.0,26.0,0.23529411764705882,0.2549019607843137,0.48,0.52
steadi,46.0,34.0,35.0,0.2956521739130435,0.4,0.425,0.575
steadili,24.0,26.0,8.0,0.4482758620689655,0.41379310344827586,0.52,0.48
steep,9.0,9.0,4.0,0.4090909090909091,0.4090909090909091,0.5,0.5
steepen,4.0,5.0,13.0,0.22727272727272727,0.18181818181818182,0.5555555555555556,0.4444444444444444
steeper,9.0,2.0,0.0,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.8181818181818182
steepli,9.0,2.0,2.0,0.15384615384615385,0.6923076923076923,0.18181818181818182,0.8181818181818182
steer,2.0,2.0,13.0,0.11764705882352941,0.11764705882352941,0.5,0.5
stem,18.0,17.0,26.0,0.2786885245901639,0.29508196721311475,0.4857142857142857,0.5142857142857142
step,14.0,14.0,24.0,0.2692307692307692,0.2692307692307692,0.5,0.5
stephen,20.0,32.0,4.0,0.5714285714285714,0.35714285714285715,0.6153846153846154,0.38461538461538464
sterl,117.0,119.0,118.0,0.3361581920903955,0.3305084745762712,0.5042372881355932,0.4957627118644068
still,105.0,101.0,89.0,0.3423728813559322,0.3559322033898305,0.49029126213592233,0.5097087378640777
stimul,19.0,22.0,15.0,0.39285714285714285,0.3392857142857143,0.5365853658536586,0.4634146341463415
stimulatori,12.0,8.0,13.0,0.24242424242424243,0.36363636363636365,0.4,0.6
