,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
six,12.0,17.0,11.0,0.425,0.3,0.5862068965517241,0.41379310344827586
size,28.0,21.0,16.0,0.3230769230769231,0.4307692307692308,0.42857142857142855,0.5714285714285714
skill,8.0,0.0,4.0,0.0,0.6666666666666666,0.0,1.0
slack,33.0,21.0,28.0,0.25609756097560976,0.4024390243902439,0.3888888888888889,0.6111111111111112
slight,2.0,6.0,5.0,0.46153846153846156,0.15384615384615385,0.75,0.25
slightli,53.0,41.0,26.0,0.3416666666666667,0.44166666666666665,0.43617021276595747,0.5638297872340425
slow,79.0,46.0,29.0,0.2987012987012987,0.512987012987013,0.368,0.632
slowdown,61.0,24.0,10.0,0.25263157894736843,0.6421052631578947,0.2823529411764706,0.7176470588235294
slower,20.0,13.0,4.0,0.35135135135135137,0.5405405405405406,0.3939393939393939,0.6060606060606061
slowli,11.0,12.0,7.0,0.4,0.36666666666666664,0.5217391304347826,0.4782608695652174
small,32.0,36.0,23.0,0.3956043956043956,0.3516483516483517,0.5294117647058824,0.47058823529411764
smaller,11.0,8.0,8.0,0.2962962962962963,0.4074074074074074,0.42105263157894735,0.5789473684210527
smooth,11.0,2.0,9.0,0.09090909090909091,0.5,0.15384615384615385,0.8461538461538461
societi,4.0,0.0,8.0,0.0,0.3333333333333333,0.0,1.0
soft,4.0,4.0,3.0,0.36363636363636365,0.36363636363636365,0.5,0.5
soften,17.0,10.0,10.0,0.2702702702702703,0.4594594594594595,0.37037037037037035,0.6296296296296297
softer,9.0,9.0,2.0,0.45,0.45,0.5,0.5
solid,7.0,2.0,3.0,0.16666666666666666,0.5833333333333334,0.2222222222222222,0.7777777777777778
somewhat,53.0,41.0,21.0,0.3565217391304348,0.4608695652173913,0.43617021276595747,0.5638297872340425
soon,25.0,11.0,9.0,0.24444444444444444,0.5555555555555556,0.3055555555555556,0.6944444444444444
sought,8.0,8.0,2.0,0.4444444444444444,0.4444444444444444,0.5,0.5
sourc,11.0,8.0,13.0,0.25,0.34375,0.42105263157894735,0.5789473684210527
spare,40.0,48.0,21.0,0.44036697247706424,0.3669724770642202,0.5454545454545454,0.45454545454545453
special,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
specifi,0.0,10.0,4.0,0.7142857142857143,0.0,1.0,0.0
speed,8.0,17.0,6.0,0.5483870967741935,0.25806451612903225,0.68,0.32
spencer,16.0,17.0,6.0,0.4358974358974359,0.41025641025641024,0.5151515151515151,0.48484848484848486
spend,66.0,47.0,30.0,0.32867132867132864,0.46153846153846156,0.415929203539823,0.584070796460177
spread,21.0,6.0,10.0,0.16216216216216217,0.5675675675675675,0.2222222222222222,0.7777777777777778
spring,4.0,0.0,8.0,0.0,0.3333333333333333,0.0,1.0
squeez,17.0,11.0,2.0,0.36666666666666664,0.5666666666666667,0.39285714285714285,0.6071428571428571
stabil,14.0,11.0,15.0,0.275,0.35,0.44,0.56
stabilis,17.0,9.0,14.0,0.225,0.425,0.34615384615384615,0.6538461538461539
stabl,16.0,9.0,19.0,0.20454545454545456,0.36363636363636365,0.36,0.64
staff,10.0,4.0,11.0,0.16,0.4,0.2857142857142857,0.7142857142857143
stage,12.0,15.0,8.0,0.42857142857142855,0.34285714285714286,0.5555555555555556,0.4444444444444444
stanc,43.0,38.0,26.0,0.35514018691588783,0.40186915887850466,0.4691358024691358,0.5308641975308642
standard,21.0,12.0,8.0,0.2926829268292683,0.5121951219512195,0.36363636363636365,0.6363636363636364
start,44.0,15.0,15.0,0.20270270270270271,0.5945945945945946,0.2542372881355932,0.7457627118644068
state,59.0,32.0,24.0,0.2782608695652174,0.5130434782608696,0.3516483516483517,0.6483516483516484
statement,4.0,6.0,6.0,0.375,0.25,0.6,0.4
stay,5.0,3.0,5.0,0.23076923076923078,0.38461538461538464,0.375,0.625
steadi,12.0,4.0,5.0,0.19047619047619047,0.5714285714285714,0.25,0.75
stem,8.0,8.0,3.0,0.42105263157894735,0.42105263157894735,0.5,0.5
step,10.0,6.0,7.0,0.2608695652173913,0.43478260869565216,0.375,0.625
stephen,20.0,24.0,2.0,0.5217391304347826,0.43478260869565216,0.5454545454545454,0.45454545454545453
sterl,87.0,62.0,48.0,0.3147208121827411,0.4416243654822335,0.4161073825503356,0.5838926174496645
still,73.0,51.0,24.0,0.34459459459459457,0.49324324324324326,0.4112903225806452,0.5887096774193549
stimul,10.0,11.0,6.0,0.4074074074074074,0.37037037037037035,0.5238095238095238,0.47619047619047616
stimulatori,6.0,4.0,4.0,0.2857142857142857,0.42857142857142855,0.4,0.6
stimulu,29.0,44.0,23.0,0.4583333333333333,0.3020833333333333,0.6027397260273972,0.3972602739726027
stock,49.0,36.0,43.0,0.28125,0.3828125,0.4235294117647059,0.5764705882352941
stood,3.0,13.0,4.0,0.65,0.15,0.8125,0.1875
strategi,6.0,5.0,1.0,0.4166666666666667,0.5,0.45454545454545453,0.5454545454545454
strength,47.0,40.0,19.0,0.37735849056603776,0.44339622641509435,0.45977011494252873,0.5402298850574713
strengthen,31.0,28.0,12.0,0.39436619718309857,0.43661971830985913,0.4745762711864407,0.5254237288135594
stress,10.0,4.0,3.0,0.23529411764705882,0.5882352941176471,0.2857142857142857,0.7142857142857143
strong,61.0,43.0,29.0,0.3233082706766917,0.45864661654135336,0.41346153846153844,0.5865384615384616
stronger,53.0,50.0,21.0,0.4032258064516129,0.4274193548387097,0.4854368932038835,0.5145631067961165
strongli,21.0,19.0,3.0,0.4418604651162791,0.4883720930232558,0.475,0.525
structur,11.0,13.0,6.0,0.43333333333333335,0.36666666666666664,0.5416666666666666,0.4583333333333333
subdu,52.0,30.0,23.0,0.2857142857142857,0.49523809523809526,0.36585365853658536,0.6341463414634146
