,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
speed,1.0,3.0,0.0,1.0055749596304214e-05,2.5389233294902856e-05,2.0,0.75,0.25
speedi,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
spend,11.0,5.0,10.0,0.0,0.0,-6.0,0.19230769230769232,0.4230769230769231
spike,0.0,1.0,2.0,0.0,8.463077764967617e-06,1.0,0.3333333333333333,0.0
spillov,2.0,1.0,6.0,0.0,0.0,-1.0,0.1111111111111111,0.2222222222222222
split,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
sponsor,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
spot,4.0,7.0,7.0,0.0,0.0,3.0,0.3888888888888889,0.2222222222222222
spread,107.0,81.0,87.0,0.0,0.0,-26.0,0.29454545454545455,0.3890909090909091
spring,1.0,2.0,9.0,0.0,0.0,1.0,0.16666666666666666,0.08333333333333333
squar,0.0,2.0,0.0,0.0,4.586160952753039e-05,2.0,1.0,0.0
squeez,2.0,0.0,0.0,4.086925061128365e-05,0.0,-2.0,0.0,1.0
stabil,5.0,7.0,2.0,0.0,0.0,2.0,0.5,0.35714285714285715
stabilis,4.0,4.0,6.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
stabl,8.0,17.0,9.0,0.0,0.0,9.0,0.5,0.23529411764705882
staff,8.0,0.0,12.0,6.536237237597739e-05,0.0,-8.0,0.0,0.4
stage,5.0,1.0,2.0,0.0,0.0,-4.0,0.125,0.625
stanc,2.0,5.0,2.0,0.0,0.0,3.0,0.5555555555555556,0.2222222222222222
stand,0.0,3.0,0.0,0.0,6.87924142912956e-05,3.0,1.0,0.0
standard,4.0,9.0,3.0,0.0,0.0,5.0,0.5625,0.25
standstil,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
start,24.0,34.0,13.0,0.0,0.0,10.0,0.4788732394366197,0.3380281690140845
state,80.0,87.0,94.0,0.0,0.0,7.0,0.3333333333333333,0.3065134099616858
statement,7.0,11.0,5.0,0.0,0.0,4.0,0.4782608695652174,0.30434782608695654
statist,4.0,0.0,2.0,3.519512358706475e-05,0.0,-4.0,0.0,0.6666666666666666
statistician,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
stay,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
steadi,4.0,3.0,1.0,0.0,0.0,-1.0,0.375,0.5
steadili,3.0,3.0,0.0,2.5139373990760535e-05,2.5389233294902856e-05,0.0,0.5,0.5
stearn,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
steep,0.0,1.0,1.0,0.0,8.463077764967617e-06,1.0,0.5,0.0
steepen,2.0,4.0,5.0,0.0,0.0,2.0,0.36363636363636365,0.18181818181818182
steeper,2.0,1.0,0.0,1.5083624394456321e-05,8.463077764967617e-06,-1.0,0.3333333333333333,0.6666666666666666
stem,3.0,1.0,0.0,2.5139373990760535e-05,8.463077764967617e-06,-2.0,0.25,0.75
step,1.0,0.0,2.0,5.027874798152107e-06,0.0,-1.0,0.0,0.3333333333333333
sterl,202.0,230.0,173.0,0.0,0.0,28.0,0.38016528925619836,0.3338842975206612
sticki,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
still,23.0,25.0,12.0,0.0,0.0,2.0,0.4166666666666667,0.38333333333333336
stimul,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
stimulatori,1.0,0.0,5.0,5.027874798152107e-06,0.0,-1.0,0.0,0.16666666666666666
stimulu,4.0,10.0,7.0,0.0,0.0,6.0,0.47619047619047616,0.19047619047619047
stock,15.0,13.0,8.0,0.0,0.0,-2.0,0.3611111111111111,0.4166666666666667
stockbuild,1.0,1.0,3.0,0.0,0.0,0.0,0.2,0.2
stockpil,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stood,7.0,2.0,5.0,0.0,0.0,-5.0,0.14285714285714285,0.5
stop,1.0,1.0,0.0,1.0055749596304214e-05,8.463077764967617e-06,0.0,0.5,0.5
storag,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
store,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
stori,2.0,0.0,1.0,1.5083624394456321e-05,0.0,-2.0,0.0,0.6666666666666666
stoxx,4.0,3.0,13.0,0.0,0.0,-1.0,0.15,0.2
straightforward,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
strain,4.0,4.0,3.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365
strategi,3.0,2.0,0.0,2.5139373990760535e-05,1.6926155529935234e-05,-1.0,0.4,0.6
strategist,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stream,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
strength,18.0,17.0,7.0,0.0,0.0,-1.0,0.40476190476190477,0.42857142857142855
strengthen,5.0,11.0,5.0,0.0,0.0,6.0,0.5238095238095238,0.23809523809523808
stress,10.0,7.0,6.0,0.0,0.0,-3.0,0.30434782608695654,0.43478260869565216
strike,2.0,0.0,1.0,1.5083624394456321e-05,0.0,-2.0,0.0,0.6666666666666666
string,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
stringent,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
strip,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
strong,29.0,24.0,23.0,0.0,0.0,-5.0,0.3157894736842105,0.3815789473684211
stronger,20.0,24.0,15.0,0.0,0.0,4.0,0.4067796610169492,0.3389830508474576
strongest,2.0,1.0,1.0,0.0,0.0,-1.0,0.25,0.5
strongli,3.0,6.0,6.0,0.0,0.0,3.0,0.4,0.2
structur,5.0,6.0,3.0,0.0,0.0,1.0,0.42857142857142855,0.35714285714285715
sub,11.0,3.0,1.0,0.0,0.0,-8.0,0.2,0.7333333333333333
subdu,5.0,3.0,1.0,0.0,0.0,-2.0,0.3333333333333333,0.5555555555555556
subject,1.0,2.0,0.0,1.0055749596304214e-05,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
subsequ,14.0,9.0,18.0,0.0,0.0,-5.0,0.21951219512195122,0.34146341463414637
subsidi,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
substanti,18.0,12.0,17.0,0.0,0.0,-6.0,0.2553191489361702,0.3829787234042553
substitut,1.0,2.0,0.0,5.027874798152107e-06,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
succeed,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
success,3.0,3.0,2.0,0.0,0.0,0.0,0.375,0.375
suck,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
suddenli,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
suffer,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
suffici,5.0,1.0,0.0,4.5250873183368955e-05,8.463077764967617e-06,-4.0,0.16666666666666666,0.8333333333333334
suggest,77.0,35.0,75.0,0.0,0.0,-42.0,0.18716577540106952,0.4117647058823529
sum,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
summari,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
