,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
score,2.0,1.0,4.0,0.0,0.0,-1.0,0.14285714285714285,0.2857142857142857
scrap,1.0,3.0,0.0,4.168333744956356e-06,1.8675496771203864e-05,2.0,0.75,0.25
se,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sea,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
search,1.0,3.0,9.0,0.0,0.0,2.0,0.23076923076923078,0.07692307692307693
season,15.0,11.0,18.0,0.0,0.0,-4.0,0.25,0.3409090909090909
second,33.0,48.0,28.0,0.0,0.0,15.0,0.44036697247706424,0.30275229357798167
secondli,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sector,143.0,199.0,131.0,0.0,0.0,56.0,0.42071881606765327,0.3023255813953488
secular,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
secur,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
see,4.0,0.0,1.0,2.5010002469738135e-05,0.0,-4.0,0.0,0.8
seek,5.0,8.0,8.0,0.0,0.0,3.0,0.38095238095238093,0.23809523809523808
seeker,0.0,1.0,4.0,0.0,6.225165590401289e-06,1.0,0.2,0.0
seem,37.0,52.0,26.0,0.0,0.0,15.0,0.45217391304347826,0.3217391304347826
seen,18.0,22.0,22.0,0.0,0.0,4.0,0.3548387096774194,0.2903225806451613
select,0.0,1.0,1.0,0.0,6.225165590401289e-06,1.0,0.5,0.0
self,8.0,5.0,24.0,0.0,0.0,-3.0,0.13513513513513514,0.21621621621621623
sell,3.0,0.0,1.0,2.084166872478178e-05,0.0,-3.0,0.0,0.75
sen,2.0,0.0,1.0,1.2505001234869067e-05,0.0,-2.0,0.0,0.6666666666666666
senior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sensibl,1.0,1.0,0.0,8.336667489912712e-06,6.225165590401289e-06,0.0,0.5,0.5
sensit,4.0,7.0,7.0,0.0,0.0,3.0,0.3888888888888889,0.2222222222222222
sent,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sentiment,1.0,1.0,0.0,8.336667489912712e-06,6.225165590401289e-06,0.0,0.5,0.5
separ,1.0,0.0,3.0,8.336667489912712e-06,0.0,-1.0,0.0,0.25
septemb,40.0,42.0,24.0,0.0,0.0,2.0,0.39622641509433965,0.37735849056603776
sequenc,2.0,1.0,0.0,1.2505001234869067e-05,6.225165590401289e-06,-1.0,0.3333333333333333,0.6666666666666666
seri,23.0,13.0,19.0,0.0,0.0,-10.0,0.23636363636363636,0.41818181818181815
serial,0.0,1.0,1.0,0.0,6.225165590401289e-06,1.0,0.5,0.0
servic,96.0,91.0,82.0,0.0,0.0,-5.0,0.3382899628252788,0.35687732342007433
session,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
set,17.0,22.0,8.0,0.0,0.0,5.0,0.46808510638297873,0.3617021276595745
setter,0.0,4.0,0.0,0.0,6.746862583089935e-05,4.0,1.0,0.0
settl,1.0,2.0,3.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666
settlement,124.0,128.0,58.0,0.0,0.0,4.0,0.4129032258064516,0.4
seven,1.0,3.0,1.0,0.0,0.0,2.0,0.6,0.2
seventeenth,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sever,11.0,14.0,13.0,0.0,0.0,3.0,0.3684210526315789,0.2894736842105263
sewerag,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
shake,0.0,2.0,0.0,0.0,3.3734312915449675e-05,2.0,1.0,0.0
shakeout,1.0,1.0,0.0,4.168333744956356e-06,6.225165590401289e-06,0.0,0.5,0.5
shallow,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
shape,3.0,0.0,1.0,1.6673334979825424e-05,0.0,-3.0,0.0,0.75
share,6.0,8.0,8.0,0.0,0.0,2.0,0.36363636363636365,0.2727272727272727
sharp,32.0,26.0,20.0,0.0,0.0,-6.0,0.3333333333333333,0.41025641025641024
sharper,0.0,1.0,4.0,0.0,6.225165590401289e-06,1.0,0.2,0.0
sharpli,27.0,28.0,32.0,0.0,0.0,1.0,0.3218390804597701,0.3103448275862069
shed,3.0,2.0,4.0,0.0,0.0,-1.0,0.2222222222222222,0.3333333333333333
sheet,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
shift,11.0,12.0,15.0,0.0,0.0,1.0,0.3157894736842105,0.2894736842105263
shock,6.0,13.0,3.0,0.0,0.0,7.0,0.5909090909090909,0.2727272727272727
shop,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
short,51.0,34.0,28.0,0.0,0.0,-17.0,0.3008849557522124,0.45132743362831856
shortag,29.0,13.0,13.0,0.0,0.0,-16.0,0.23636363636363636,0.5272727272727272
shorten,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
shorter,5.0,3.0,12.0,0.0,0.0,-2.0,0.15,0.25
shortfal,5.0,3.0,9.0,0.0,0.0,-2.0,0.17647058823529413,0.29411764705882354
shortli,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
show,35.0,25.0,19.0,0.0,0.0,-10.0,0.31645569620253167,0.4430379746835443
shown,13.0,13.0,16.0,0.0,0.0,0.0,0.30952380952380953,0.30952380952380953
shrinkag,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
shutdown,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
sick,0.0,1.0,1.0,0.0,6.225165590401289e-06,1.0,0.5,0.0
side,8.0,8.0,11.0,0.0,0.0,0.0,0.2962962962962963,0.2962962962962963
sight,1.0,1.0,0.0,4.168333744956356e-06,6.225165590401289e-06,0.0,0.5,0.5
sign,35.0,43.0,38.0,0.0,0.0,8.0,0.3706896551724138,0.3017241379310345
signal,11.0,8.0,12.0,0.0,0.0,-3.0,0.25806451612903225,0.3548387096774194
signific,28.0,49.0,15.0,0.0,0.0,21.0,0.532608695652174,0.30434782608695654
significantli,22.0,12.0,24.0,0.0,0.0,-10.0,0.20689655172413793,0.3793103448275862
similar,25.0,20.0,18.0,0.0,0.0,-5.0,0.31746031746031744,0.3968253968253968
similarli,4.0,4.0,1.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444
simpl,1.0,1.0,0.0,4.168333744956356e-06,6.225165590401289e-06,0.0,0.5,0.5
