,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
fulfil,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
full,3.0,4.0,7.0,0.0,0.0,1.0,0.2857142857142857,0.21428571428571427
fuller,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
fulli,7.0,13.0,2.0,0.0,0.0,6.0,0.5909090909090909,0.3181818181818182
function,0.0,2.0,3.0,0.0,9.344189920704762e-06,2.0,0.4,0.0
fund,33.0,51.0,66.0,0.0,0.0,18.0,0.34,0.22
fundament,3.0,1.0,3.0,0.0,0.0,-2.0,0.14285714285714285,0.42857142857142855
funer,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
furnitur,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
furthermor,3.0,4.0,0.0,1.2566278388330925e-05,1.8688379841409524e-05,1.0,0.5714285714285714,0.42857142857142855
furthest,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
futur,39.0,42.0,35.0,0.0,0.0,3.0,0.3620689655172414,0.33620689655172414
fy,1.0,2.0,0.0,3.1415695970827313e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
g,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
ga,5.0,2.0,5.0,0.0,0.0,-3.0,0.16666666666666666,0.4166666666666667
gain,3.0,5.0,13.0,0.0,0.0,2.0,0.23809523809523808,0.14285714285714285
game,4.0,0.0,7.0,1.8849417582496385e-05,0.0,-4.0,0.0,0.36363636363636365
gap,2.0,4.0,7.0,0.0,0.0,2.0,0.3076923076923077,0.15384615384615385
gather,1.0,4.0,5.0,0.0,0.0,3.0,0.4,0.1
gaug,7.0,4.0,5.0,0.0,0.0,-3.0,0.25,0.4375
gave,4.0,2.0,5.0,0.0,0.0,-2.0,0.18181818181818182,0.36363636363636365
gdp,249.0,287.0,320.0,0.0,0.0,38.0,0.3352803738317757,0.2908878504672897
gear,7.0,4.0,0.0,3.455726556791004e-05,1.8688379841409524e-05,-3.0,0.36363636363636365,0.6363636363636364
gener,48.0,39.0,53.0,0.0,0.0,-9.0,0.2785714285714286,0.34285714285714286
generalis,1.0,1.0,0.0,6.2831391941654625e-06,4.672094960352381e-06,0.0,0.5,0.5
gentl,3.0,5.0,2.0,0.0,0.0,2.0,0.5,0.3
gentli,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
genuin,1.0,2.0,0.0,3.1415695970827313e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
geograph,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
geopolit,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
germani,1.0,0.0,3.0,6.2831391941654625e-06,0.0,-1.0,0.0,0.25
get,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
gfk,31.0,18.0,28.0,0.0,0.0,-13.0,0.23376623376623376,0.4025974025974026
gilt,3.0,1.0,20.0,0.0,0.0,-2.0,0.041666666666666664,0.125
give,9.0,3.0,0.0,4.3981974359158235e-05,1.4016284881057144e-05,-6.0,0.25,0.75
given,52.0,55.0,46.0,0.0,0.0,3.0,0.35947712418300654,0.33986928104575165
glean,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
global,30.0,19.0,30.0,0.0,0.0,-11.0,0.24050632911392406,0.379746835443038
gloomi,1.0,1.0,3.0,0.0,0.0,0.0,0.2,0.2
go,4.0,6.0,7.0,0.0,0.0,2.0,0.35294117647058826,0.23529411764705882
gold,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
golden,1.0,1.0,0.0,6.2831391941654625e-06,4.672094960352381e-06,0.0,0.5,0.5
gone,0.0,2.0,2.0,0.0,9.344189920704762e-06,2.0,0.5,0.0
good,55.0,66.0,48.0,0.0,0.0,11.0,0.3905325443786982,0.3254437869822485
govern,59.0,41.0,22.0,0.0,0.0,-18.0,0.3360655737704918,0.48360655737704916
governor,5.0,7.0,12.0,0.0,0.0,2.0,0.2916666666666667,0.20833333333333334
grade,1.0,3.0,3.0,0.0,0.0,2.0,0.42857142857142855,0.14285714285714285
gradual,20.0,16.0,13.0,0.0,0.0,-4.0,0.32653061224489793,0.40816326530612246
grant,1.0,5.0,7.0,0.0,0.0,4.0,0.38461538461538464,0.07692307692307693
great,1.0,2.0,2.0,0.0,0.0,1.0,0.4,0.2
greater,30.0,32.0,30.0,0.0,0.0,2.0,0.34782608695652173,0.32608695652173914
greatest,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
greatli,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
greec,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
grew,2.0,0.0,7.0,9.424708791248192e-06,0.0,-2.0,0.0,0.2222222222222222
gross,5.0,6.0,12.0,0.0,0.0,1.0,0.2608695652173913,0.21739130434782608
ground,1.0,5.0,2.0,0.0,0.0,4.0,0.625,0.125
group,5.0,2.0,5.0,0.0,0.0,-3.0,0.16666666666666666,0.4166666666666667
grow,47.0,53.0,45.0,0.0,0.0,6.0,0.36551724137931035,0.32413793103448274
grown,54.0,48.0,75.0,0.0,0.0,-6.0,0.2711864406779661,0.3050847457627119
growth,878.0,979.0,770.0,0.0,0.0,101.0,0.3726684430909783,0.3342215454891511
guarante,1.0,1.0,3.0,0.0,0.0,0.0,0.2,0.2
guard,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
guid,1.0,8.0,3.0,0.0,0.0,7.0,0.6666666666666666,0.08333333333333333
guidanc,3.0,0.0,2.0,1.5707847985413656e-05,0.0,-3.0,0.0,0.6
gulf,0.0,1.0,2.0,0.0,4.672094960352381e-06,1.0,0.3333333333333333,0.0
h,7.0,3.0,7.0,0.0,0.0,-4.0,0.17647058823529413,0.4117647058823529
half,44.0,74.0,88.0,0.0,0.0,30.0,0.3592233009708738,0.21359223300970873
halifax,26.0,27.0,30.0,0.0,0.0,1.0,0.3253012048192771,0.3132530120481928
halv,1.0,2.0,0.0,3.1415695970827313e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
hamper,0.0,1.0,2.0,0.0,4.672094960352381e-06,1.0,0.3333333333333333,0.0
hand,18.0,13.0,5.0,0.0,0.0,-5.0,0.3611111111111111,0.5
hang,0.0,1.0,0.0,0.0,1.2659094049341005e-05,1.0,1.0,0.0
happen,5.0,2.0,5.0,0.0,0.0,-3.0,0.16666666666666666,0.4166666666666667
hard,13.0,11.0,3.0,0.0,0.0,-2.0,0.4074074074074074,0.48148148148148145
harder,3.0,1.0,2.0,0.0,0.0,-2.0,0.16666666666666666,0.5
hardli,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
harmonis,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
haulag,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
hbf,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
