,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
autumn,4.0,8.0,1.0,0.0,0.0,4.0,0.6153846153846154,0.3076923076923077
avail,26.0,28.0,39.0,0.0,0.0,2.0,0.3010752688172043,0.27956989247311825
averag,49.0,47.0,74.0,0.0,0.0,-2.0,0.27647058823529413,0.28823529411764703
avers,2.0,0.0,2.0,7.402317310302437e-06,0.0,-2.0,0.0,0.5
avert,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
avoid,11.0,11.0,14.0,0.0,0.0,0.0,0.3055555555555556,0.3055555555555556
await,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
awar,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
award,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
away,8.0,9.0,5.0,0.0,0.0,1.0,0.4090909090909091,0.36363636363636365
awe,1.0,3.0,6.0,0.0,0.0,2.0,0.3,0.1
b,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
back,92.0,76.0,64.0,0.0,0.0,-16.0,0.3275862068965517,0.39655172413793105
backdrop,12.0,16.0,20.0,0.0,0.0,4.0,0.3333333333333333,0.25
background,19.0,24.0,4.0,0.0,0.0,5.0,0.5106382978723404,0.40425531914893614
backlog,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
backstop,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
backward,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
bad,3.0,2.0,4.0,0.0,0.0,-1.0,0.2222222222222222,0.3333333333333333
badli,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
bailey,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
balanc,170.0,217.0,96.0,0.0,0.0,47.0,0.4492753623188406,0.35196687370600416
balkan,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
band,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bank,547.0,393.0,748.0,0.0,0.0,-154.0,0.23281990521327015,0.3240521327014218
banknot,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
bar,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
bargain,4.0,0.0,1.0,1.2337195517170727e-05,0.0,-4.0,0.0,0.8
barker,20.0,32.0,5.0,0.0,0.0,12.0,0.5614035087719298,0.3508771929824561
baromet,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
barrel,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
barrier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
base,29.0,36.0,31.0,0.0,0.0,7.0,0.375,0.3020833333333333
basel,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
basi,172.0,128.0,87.0,0.0,0.0,-44.0,0.330749354005168,0.4444444444444444
basic,0.0,3.0,0.0,0.0,2.850697584511337e-05,3.0,1.0,0.0
basket,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
batch,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
